Date,VAT Quarter,Quarter Number (HMRC),Supplier Name,Description / Memo, Gross Amount (£) , VAT (£) , Net Amount (£) ,Notes
21/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, (204.41), -   , (204.41),
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 198.30 , -   , 198.30 ,
10/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 481.08 , -   , 481.08 ,
10/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 92.97 , -   , 92.97 ,
18/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 455.14 , -   , 455.14 ,
18/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 2.44 , -   , 2.44 ,
19/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 31.66 , -   , 31.66 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 21.77 , -   , 21.77 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 231.76 , -   , 231.76 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 8.12 , -   , 8.12 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 103.66 , -   , 103.66 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 39.33 , -   , 39.33 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 53.33 , -   , 53.33 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 525.56 , -   , 525.56 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 118.82 , -   , 118.82 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 118.82 , -   , 118.82 ,
23/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 231.76 , -   , 231.76 ,
23/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,, 231.76 , -   , 231.76 ,
24/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Travel Expense,10015105 U.A.EMIRATES ON 24 JAN ATM, 231.29 , -   , 231.29 ,
01/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 65.80 , 10.97 , 54.83 ,
01/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 53.59 , 8.93 , 44.66 ,
13/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 32.80 , 5.47 , 27.33 ,
13/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 7.40 , -   , 7.40 ,
01/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 58.36 , 9.73 , 48.63 ,
01/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 65.80 , 10.97 , 54.83 ,
01/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 32.80 , 5.47 , 27.33 ,
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 65.80 , 10.97 , 54.83 ,
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 32.80 , 5.47 , 27.33 ,
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,VERISURE SERVICES,, 58.36 , 9.73 , 48.63 ,
09/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,virgin Pure,, 33.24 , 5.54 , 27.70 ,
30/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,virgin Pure,, 33.24 , 5.54 , 27.70 ,
04/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,virgin Pure,, 74.99 , 12.50 , 62.49 ,
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,virgin Pure,, 33.24 , 5.54 , 27.70 ,
04/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,virgin Pure,, 16.62 , 2.77 , 13.85 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,virgin Pure,, 16.62 , 2.77 , 13.85 ,
27/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,VITAL GUARDING FM ,," 8,965.92 "," 1,494.32 "," 7,471.60 ",
27/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,VITAL GUARDING FM ,," 9,421.88 "," 1,570.31 "," 7,851.57 ",
25/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,VITAL GUARDING FM ,VITAL GUARDING FM AS PER INVOICE BBP," 4,230.60 ", 705.10 ," 3,525.50 ",
27/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,VOLKSWAGEN FINANCIAL Services,, 22.49 , 3.75 , 18.74 ,
27/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,VOLKSWAGEN FINANCIAL Services,, 22.49 , 3.75 , 18.74 ,
26/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,VOLKSWAGEN FINANCIAL Services,VWFS UK LIMITED XXXXXXXXXXXX2015 DDR, 22.49 , 3.75 , 18.74 ,
19/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,wane BY Miya,, 111.99 , -   , 111.99 ,
19/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,wane BY Miya,, 38.88 , -   , 38.88 ,
22/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,WELL DUNN LIMITED,, 380.48 , 63.41 , 317.07 ,
22/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,WELL DUNN LIMITED,, 380.48 , 63.41 , 317.07 ,
22/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,WELL DUNN LIMITED,, 380.48 , 63.41 , 317.07 ,
27/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,WG Associates,," 4,863.81 ", -   ," 4,863.81 ",
27/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,WG Associates,," 3,710.93 ", 618.49 ," 3,092.44 ",
25/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,WG Associates,WG ASSOCIATES ONE AS PER INVOICE BBP," 3,886.50 ", -   ," 3,886.50 ",
09/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Wyndhan,, 642.83 , 107.14 , 535.69 ,
11/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,Wyndhan,, 11.38 , -   , 11.38 ,
27/11/2023,11. Nov'23 to Jan'24,Q1 - 2024,xtensible Logistics,," 2,231.22 ", 371.87 ," 1,859.35 ",
27/12/2023,11. Nov'23 to Jan'24,Q1 - 2024,xtensible Logistics,," 2,178.00 ", -   ," 2,178.00 ",
25/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,xtensible Logistics,XTENSIBLE LOGIX LT AS PER INVOICE BBP," 4,250.60 ", 708.43 ," 3,542.17 ",
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,YOURCOMPANY INFO,, 33.60 , 5.60 , 28.00 ,
02/01/2024,11. Nov'23 to Jan'24,Q1 - 2024,YOURCOMPANY INFO,, 151.20 , 25.20 , 126.00 ,
07/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ACUITY LAW LIMITED,ACUITY LAW LIMITED 102525-0002 BBP," 5,516.82 ", 919.47 ," 4,597.35 ",
27/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ACUITY LAW LIMITED,ACUITY LAW LIMITED 102525-0002 FT," 8,180.00 "," 1,363.33 "," 6,816.67 ",
28/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ALLDAYPA Communication,WWW.ALLDAYPA.COM ON 27 FEB BDC, 108.02 , 18.00 , 90.02 ,
28/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ALLDAYPA Communication,WWW.ALLDAYPA.COM ON 27 MAR BDC, 108.50 , 18.08 , 90.42 ,
30/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,ALLDAYPA Communication,WWW.ALLDAYPA.COM ON 29 APR BDC, 108.50 , 18.08 , 90.42 ,
04/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,APPLE STACK LTD,INVOICE435 * 234995*APPLE STAC* TFR," 20,000.00 "," 3,333.33 "," 16,666.67 ",
06/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,APPLE STACK LTD,INVOICE440 * 161056*APPLE STAC* TFR," 25,000.00 "," 4,166.67 "," 20,833.33 ",
07/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,APPLE STACK LTD,INVOICE445 * 214747*APPLE STAC* TFR," 28,000.00 ",," 28,000.00 ",
18/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,APPLE STACK LTD,invoice4204 * 103846*APPLE STAC* TFR," 24,500.00 ",," 24,500.00 ",
25/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,APPLE STACK LTD,invoice4209 * 223697*APPLE STAC* TFR," 10,000.00 "," 1,666.67 "," 8,333.33 ",
26/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC G36989 DDR, 112.13 , 18.69 , 93.44 ,
26/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC B41299 DDR, 101.33 , 16.89 , 84.44 ,
25/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC G36989 DDR, 140.16 , 23.36 , 116.80 ,
25/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC B41299 DDR, 126.66 , 21.11 , 105.55 ,
29/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC B41299 DDR, 101.33 , 16.89 , 84.44 ,
29/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,BIFFA WASTE SERVICES LIMITED,BIFFA WASTE SERVIC G36989 DDR, 112.13 , 18.69 , 93.44 ,
05/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Capital Protections Ltd,CAPITAL PROTECTION PAYMENT BBP," 2,978.50 ", 496.42 ," 2,482.08 ",
27/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Capital Protections Ltd,CAPITAL PROTECTION PAYMENT BBP, 260.10 , 43.35 , 216.75 ,
25/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Capital Protections Ltd,CAPITAL PROTECTION PAYMENT BBP," 2,990.16 ", 498.36 ," 2,491.80 ",
08/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Creditsafe Business Solutions Limited,Sent Creditsafe Business Solutions Limited," 1,380.01 ",," 1,380.01 ",
26/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,MERCEDES-BENZ UK LIMITED,MBFIN S0EK23GUJ02 S0EK23GUJ022793779 DDR, 426.47 , 71.08 , 355.39 ,
25/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,MERCEDES-BENZ UK LIMITED,MBFIN S0EK23GUJ02 S0EK23GUJ022654556 DDR, 426.47 , 71.08 , 355.39 ,
24/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,MERCEDES-BENZ UK LIMITED,MBFIN S0EK23GUJ02 S0EK23GUJ020016722 DDR, 426.47 , 71.08 , 355.39 ,
01/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Novogen Labs Ltd,NOVOGEN LABS LTD INVESTMENT FT," 5,000.00 ", 833.33 ," 4,166.67 ",
07/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 05331910/001 DDR, 57.71 , 9.62 , 48.09 ,
12/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 D11257810 FIRST DDR PAYMENT DDR, 33.74 , 5.62 , 28.12 ,
20/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 D3885380 DDR, 24.16 , 4.03 , 20.13 ,
07/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 05331910/001 DDR, 57.71 , 9.62 , 48.09 ,
13/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 D11257810 DDR, 33.74 , 5.62 , 28.12 ,
20/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 D3885380 DDR, 24.16 , 4.03 , 20.13 ,
05/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 05331910/001 DDR, 57.71 , 9.62 , 48.09 ,
11/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 D11257810 DDR, 60.49 , 10.08 , 50.41 ,
22/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,O2 (UK) LIMITED T/A Telefónica UK Limited,O2 D3885380 DDR, 25.34 , 4.22 , 21.12 ,
16/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,SAGE SOFTWARE LTD,SAGE SOFTWARE LTD PCNHPQC DDR, 181.20 , 30.20 , 151.00 ,
18/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,SAGE SOFTWARE LTD,SAGE SOFTWARE LTD PCNHPQC DDR, 181.20 , 30.20 , 151.00 ,
16/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,SAGE SOFTWARE LTD,SAGE SOFTWARE LTD PCNHPQC DDR, 181.20 , 30.20 , 151.00 ,
01/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,THE Ken Rhodes,THE KEN RHODES GRO RENT/FARRINGDON STO," 3,608.30 ", 601.38 ," 3,006.92 ",
01/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,THE Ken Rhodes,THE KEN RHODES GRO RENT/FARRINGDON STO," 3,608.30 ", 601.38 ," 3,006.92 ",
06/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,THE Ken Rhodes,THE KEN RHODES GRO BILLS/1745 FT," 1,742.12 ", 290.35 ," 1,451.77 ",
02/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,THE Ken Rhodes,THE KEN RHODES GRO RENT/FARRINGDON STO," 3,608.30 ", 601.38 ," 3,006.92 ",
24/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,THE Ken Rhodes,THE KEN RHODES GRO RENT/FARRINGDON FT, 718.46 , 119.74 , 598.72 ,
08/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Wave Tel Ltd,WAVETEL BUSINESS 1001054 DDR, 159.62 , 26.60 , 133.02 ,
07/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Wave Tel Ltd,WAVETEL BUSINESS 1001054 DDR, 153.90 , 25.65 , 128.25 ,
05/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Wave Tel Ltd,WAVETEL BUSINESS 1001054 DDR, 156.08 , 26.01 , 130.07 ,
07/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,xtreme Professional Cleaning Ltd,XTREME PROFESSIONA AS INVOICED BBP," 18,000.00 "," 3,000.00 "," 15,000.00 ",
04/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,xtreme Professional Cleaning Ltd,XTREME PROFESSIONA AS INVOICED FT," 25,000.00 "," 4,166.67 "," 20,833.33 ",
04/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,xtreme Professional Cleaning Ltd,XTREME PROFESSIONA AS INVOICED FT," 25,000.00 "," 4,166.67 "," 20,833.33 ",
30/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,xtreme Professional Cleaning Ltd,Cleaners supplied April 2024," 33,188.40 "," 5,531.40 "," 27,657.00 ",
11/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,1Password,1PASSWORD CANADA AMOUNT IN USD 4.99 ON 08 MAR VISA 1.271999 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.11, 4.03 ,, 4.03 ,
04/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,A2Z Security Services Ltd,A2Z SECURITY LIMIT AS PER INVOICE BBP," 1,232.00 ", 205.33 ," 1,026.67 ",
25/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,A2Z Security Services Ltd,A2Z SECURITY LTD INVOICE BBP," 1,089.00 ", 181.50 , 907.50 ,
25/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,AAYAN SERIVES BRISTOL LIMITED,AAYAN FOOD BRISTOL INVOICE BBP," 9,141.00 "," 1,523.50 "," 7,617.50 ",
01/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,AB SALUTE GYM LTD,AB SALUTE 45699BE197251049 DDR, 37.50 , 6.25 , 31.25 ,
01/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,AB SALUTE GYM LTD,AB SALUTE 45699BE197251049 DDR, 37.50 , 6.25 , 31.25 ,
02/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,AB SALUTE GYM LTD,AB SALUTE 45699BE197251049 DDR, 37.50 , 6.25 , 31.25 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Abdul AREEF SHAIKH,Sent Abdul Areef Shaik, 375.12 ,, 375.12 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ABDUL RAMEEZ SHEIK,Sent ABDUL RAMEEZ SHEIK, 427.22 ,, 427.22 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ABDUL SAMAD,Sent Abdul Samad, 760.41 ,, 760.41 ,
21/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ABERDEEN FOODCOURT,ABERDEEN FOODCOURT ON 20 MAR CLP, 7.75 , 1.29 , 6.46 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADEEL ABBAS,Sent Adeel Abbas, 125.04 ,, 125.04 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADEEL ABBAS,Sent Adeel Abbas, 30.00 ,, 30.00 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Adegbusi Adeyemi Isaac,Sent Adegbusi Adeyemi Isaac," 1,055.20 ",," 1,055.20 ",
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Adil Yaqoob,Sent Adil Yaqoob," 1,292.80 ",," 1,292.80 ",
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Adjei Kwame Peter,Sent Adjei Kwame Peter, 708.50 ,, 708.50 ,
11/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,Adobe.com IRELAND ON 09 MAR CPM, 19.97 , 3.33 , 16.64 ,
07/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,ADOBE SYSTEMS SOFT IRELAND ON 07 FEB BDC, 9.98 , 1.66 , 8.32 ,
12/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,Adobe.com IRELAND ON 09 FEB CPM, 19.97 , 3.33 , 16.64 ,
15/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,ADOBE SYSTEMS SOFT IRELAND ON 15 FEB BDC, 19.97 , 3.33 , 16.64 ,
07/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,ADOBE SYSTEMS SOFT IRELAND ON 07 MAR BDC, 9.98 , 1.66 , 8.32 ,
15/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,ADOBE SYSTEMS SOFT IRELAND ON 15 MAR BDC, 19.97 ,, 19.97 ,
08/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,Adobe IRELAND ON 07 APR BDC, 9.98 ,, 9.98 ,
10/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,Adobe IRELAND ON 09 APR CPM, 19.97 , 3.33 , 16.64 ,
15/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,ADOBE ACROBAT,Adobe IRELAND ON 15 APR BDC, 19.97 , 3.33 , 16.64 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,AFZAAL MAJEED,Sent Afzaal Majeed," 2,393.13 ",," 2,393.13 ",
02/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Ahrar Jawaid,Sent Ahrar Jawaid, 150.00 ,, 150.00 ,
02/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Ahrar Jawaid,Sent Ahrar Jawaid, 150.00 ,, 150.00 ,
06/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Ahrar Jawaid,Sent Ahrar Jawaid, 150.00 ,, 150.00 ,
06/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Ahrar Jawaid,Sent Ahrar Jawaid, 150.00 ,, 150.00 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,AHTISHAM RAHEEM,Sent AHTISHAM RAHEEM, 880.00 ,, 880.00 ,
13/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Ajab Ehsan ul Haq,Sent Ajab Ehsan Ul Haq, 882.00 ,, 882.00 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Akhil Kumar Sapadi,Sent Akhil Kumar Sapadi," 2,580.59 ",," 2,580.59 ",
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Alade Samson,Sent Alade Samson, 270.92 ,, 270.92 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,ALI HASSNAIN,Sent Ali Hassnain," 2,334.91 ",," 2,334.91 ",
27/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Alliance Facilities Management Limited,ALLIANCE FACILITY AS INVOICED BBP," 13,535.51 "," 2,255.92 "," 11,279.59 ",
05/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Alliance Facilities Management Limited,ALLIANCE FACILITY AS INVOICED BBP," 2,263.45 ", 377.24 ," 1,886.21 ",
27/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Alliance Facilities Management Limited,ALLIANCE FACILITY AS INVOICED BBP, 602.10 , 100.35 , 501.75 ,
05/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ALPHA REALTORS LTD,Sent Alpha Realtors LTD," 1,675.00 ",," 1,675.00 ",
24/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,AMAZON,AMAZON* 204-012733 ON 23 APR BDC, 35.69 , 5.95 , 29.74 ,
29/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,AMAZON,AMAZON* 204-896971 ON 26 APR BDC, 30.98 , 5.16 , 25.82 ,
24/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,AMAZON,AMZNMktplace*HD43X ON 23 APR BDC, 14.98 , 2.50 , 12.48 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,AMEER HAMZA,Sent Ameer hamza, 729.40 ,, 729.40 ,
10/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Anwar Hegazy,Sent Anwar Hegazy, 750.24 ,, 750.24 ,
22/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,APCOA Parking,APCOA - HAL - SS T ON 20 MAR CLP, 88.00 ,, 88.00 ,
12/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE STORE R242 ON 10 FEB CLP, 179.99 , 30.00 , 149.99 ,
19/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 17 FEB CPM, 69.98 , 11.66 , 58.32 ,
08/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 08 FEB CPM, 31.03 , 5.17 , 25.86 ,
30/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 30 MAR CPM, 16.99 , 2.83 , 14.16 ,
19/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,DU APPLE PAY U.A.EMIRATES AMOUNT IN AED 45.00 ON 16 FEB VISA 4.604582 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.27, 10.04 , 1.67 , 8.37 ,
03/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 02 APR BDC, 8.99 ,, 8.99 ,
05/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 02 FEB BDC, 8.99 , 1.50 , 7.49 ,
30/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 30 MAR CPM, 5.99 , 1.00 , 4.99 ,
30/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 30 MAR CPM, 4.99 , 0.83 , 4.16 ,
30/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Apple,APPLE.COM/BILL IRELAND ON 30 MAR CPM, 2.99 , 0.50 , 2.49 ,
07/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ARABIA TAXI,ARABIA TAXI U.A.EMIRATES AMOUNT IN AED 12.50 ON 06 MAR VISA 4.652072 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.07, 2.76 ,, 2.76 ,
18/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,ARGOS LTD,WWW.ARGOS.CO.UK ON 17 MAR BDC, 95.95 , 15.99 , 79.96 ,
03/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,ARGOS LTD,WWW.ARGOS.CO.UK ON 02 APR BDC, 70.00 , 11.67 , 58.33 ,
19/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,ARGOS LTD,WWW.ARGOS.CO.UK ON 18 APR BDC, 109.99 , 18.33 , 91.66 ,
09/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Arub Dc,ARUN DC ONLINE PAY ON 05 APR BDC, 25.00 , 4.17 , 20.83 ,
09/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Arub Dc,ARUN DC ONLINE PAY ON 05 APR BDC, 35.00 , 5.83 , 29.17 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Asad Azeem,Sent Asad Azeem, 750.24 ,, 750.24 ,
09/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Asad Raza,Sent Asad Raza, 333.44 ,, 333.44 ,
01/02/2024,12. Feb'24 to Apr'24,Q2 - 2024,Assets service fee,Assets fee, 0.49 ,, 0.49 ,
01/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Assets service fee,Assets fee, 1.06 ,, 1.06 ,
01/04/2024,12. Feb'24 to Apr'24,Q2 - 2024,Assets service fee,Assets fee, 1.84 ,, 1.84 ,
22/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Avis UK,AVIS RENT-A-CAR ON 20 MAR BDC, 56.75 , 9.46 , 47.29 ,
21/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,BA INFLIGHT,BA INFLIGHT SALES IRELAND ON 20 MAR BDC, 4.99 ,, 4.99 ,
04/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Bank Charges,CHARGES*234995* INVOICE435 * TFR, 15.00 ,, 15.00 ,
06/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Bank Charges,CHARGES*161056* INVOICE440 * TFR, 15.00 ,, 15.00 ,
18/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Bank Charges,CHARGES*103846* invoice4204 * TFR, 21.00 ,, 21.00 ,
25/03/2024,12. Feb'24 to Apr'24,Q2 - 2024,Bank Charges,CHARGES*223697* invoice4209 * TFR, 15.00 ,, 15.00 ,
